J       CT       CP       eta
0.112   0.1071   0.0521   0.230
0.144   0.1056   0.0524   0.290
0.173   0.1038   0.0524   0.342
0.202   0.1017   0.0525   0.392
0.230   0.0996   0.0525   0.437
0.260   0.0972   0.0526   0.481
0.287   0.0949   0.0526   0.518
0.320   0.0922   0.0528   0.558
0.344   0.0898   0.0528   0.584
0.372   0.0865   0.0527   0.610
0.400   0.0825   0.0521   0.634
0.431   0.0766   0.0507   0.651
0.463   0.0700   0.0486   0.668
0.487   0.0642   0.0464   0.675
0.492   0.0639   0.0463   0.678
0.514   0.0583   0.0441   0.681
0.517   0.0576   0.0437   0.682
0.547   0.0504   0.0402   0.686
0.575   0.0446   0.0372   0.690
0.605   0.0391   0.0342   0.692
0.633   0.0339   0.0314   0.683
0.663   0.0288   0.0285   0.668
0.690   0.0241   0.0259   0.643
0.726   0.0176   0.0221   0.579
0.752   0.0127   0.0191   0.500
0.785   0.0070   0.0154   0.358
0.810   0.0025   0.0124   0.167
0.841   -0.0034   0.0087   -0.324
